name,link,year_of_birth,year_of_death,date_of_death,description
Milko Kelemen,/wiki/Milko_Kelemen,1924,2015,March 8,Croatian composer
Kate Wilhelm,/wiki/Kate_Wilhelm,1928,2015,March 8,American author
Oskar Gröning,/wiki/Oskar_Gr%C3%B6ning,1921,2015,March 9,German war criminal
Hubert de Givenchy,/wiki/Hubert_de_Givenchy,1927,2015,March 9,French fashion designer
Jung Jae-sung,/wiki/Jung_Jae-sung,1982,2015,March 9,South Korean badminton player
Ralf Waldmann,/wiki/Ralf_Waldmann,1966,2015,March 9,German motorcycle racer
Ken Dodd,/wiki/Ken_Dodd,1927,2015,March 11,"English comedian, singer-songwriter, and actor"
Karl Lehmann,/wiki/Karl_Lehmann,1936,2015,March 11,German cardinal
Nokie Edwards,/wiki/Nokie_Edwards,1935,2015,March 12,American musician
Ken Flach,/wiki/Ken_Flach,1963,2015,March 12,American tennis player
Craig Mack,/wiki/Craig_Mack,1970,2015,March 12,American rapper
Oleg Tabakov,/wiki/Oleg_Tabakov,1935,2015,March 12,Soviet and Russian actor
Jim Bowen,/wiki/Jim_Bowen,1937,2015,March 14,English stand-up comedian
Alfred W. Crosby,/wiki/Alfred_W._Crosby,1931,2015,March 14,American ecological historian
Marielle Franco,/wiki/Marielle_Franco,1979,2015,March 14,Brazilian activist and politician
Rubén Galván,/wiki/Rub%C3%A9n_Galv%C3%A1n_(footballer),1952,2015,March 14,Argentine footballer
Stephen Hawking,/wiki/Stephen_Hawking,1942,2015,March 14,English theoretical physicist and cosmologist
Adrian Lamo,/wiki/Adrian_Lamo,1981,2015,March 14,Colombian-American computer hacker
Liam O'Flynn,/wiki/Liam_O%27Flynn,1945,2015,March 14,Irish uilleann piper
Louise Slaughter,/wiki/Louise_Slaughter,1929,2015,March 16,American politician
March 17,/wiki/March_17,1933,2015,Millennium,5th Prime Minister of Vietnam
Prime Minister of Djibouti,/wiki/Prime_Minister_of_Djibouti,1930,2015,Barkat Gourad Hamadou,4th Prime Minister of Djibouti
Li Ao,/wiki/Li_Ao,1935,2015,March 18,Chinese-Taiwanese writer and politician
"Ivor Richard, Baron Richard","/wiki/Ivor_Richard,_Baron_Richard",1932,2015,March 18,"Baron Richard, English politician"
Irina Beglyakova,/wiki/Irina_Beglyakova,1933,2015,March 19,Russian athlete
Keith O'Brien,/wiki/Keith_O%27Brien,1938,2015,March 19,Scottish cardinal
Kedarnath Singh,/wiki/Kedarnath_Singh,1934,2015,March 19,Indian poet
Katie Boyle,/wiki/Katie_Boyle,1926,2015,March 20,Italian-English actress
Peter George Peterson,/wiki/Peter_George_Peterson,1926,2015,March 20,American banker
William Smith,/wiki/William_Smith_(wrestler),1928,2015,March 20,American Olympic wrestler
René Houseman,/wiki/Ren%C3%A9_Houseman,1953,2015,March 22,Argentine footballer
Johan van Hulst,/wiki/Johan_van_Hulst,1911,2015,March 22,"Dutch politician, author, and academic"
Morgana King,/wiki/Morgana_King,1930,2015,March 22,American jazz singer and actress
DuShon Monique Brown,/wiki/DuShon_Monique_Brown,1968,2015,March 23,American actress
Debbie Lee Carrington,/wiki/Debbie_Lee_Carrington,1959,2015,March 23,American actress
Philip Kerr,/wiki/Philip_Kerr,1956,2015,March 23,English author
Zell Miller,/wiki/Zell_Miller,1932,2015,March 23,American politician
Delores Taylor,/wiki/Delores_Taylor,1932,2015,March 23,"American actress, writer, and producer"
José Antonio Abreu,/wiki/Jos%C3%A9_Antonio_Abreu,1939,2015,March 24,Venezuelan conductor and politician
Lys Assia,/wiki/Lys_Assia,1924,2015,March 24,Swiss singer
Rim Banna,/wiki/Rim_Banna,1966,2015,March 24,Palestinian singer and activist
Bill Lucas,/wiki/Bill_Lucas_(runner),1917,2015,March 24,Bill Lucas British RAF officer and Olympic long-distance runner
Linda Carol Brown,/wiki/Linda_Carol_Brown,1943,2015,March 25,American campaigner for equality in education
1958,/wiki/1958,importance?,2015,Fabrizio Frizzi,Italian television presenter
Sergei Mavrodi,/wiki/Sergei_Mavrodi,1955,2015,March 26,Russian criminal and politician
Stéphane Audran,/wiki/St%C3%A9phane_Audran,1932,2015,March 27,French actress
Kenny O'Dell,/wiki/Kenny_O%27Dell,1944,2015,March 27,American country music singer
Lívia Rév,/wiki/L%C3%ADvia_R%C3%A9v,1916,2015,March 28,Hungarian pianist
Rusty Staub,/wiki/Rusty_Staub,1944,2015,March 29,American baseball player
Aureliano Bolognesi,/wiki/Aureliano_Bolognesi,1930,2015,March 30,Italian Olympic boxer
Saul Cherniack,/wiki/Saul_Cherniack,1917,2015,March 30,Canadian politician and lawyer
Drue Heinz,/wiki/Drue_Heinz,1915,2015,March 30,American literary publisher
Sabahudin Kurt,/wiki/Sabahudin_Kurt,1935,2015,March 30,Bosnian singer
Prime Minister of the Democratic Republic of the Congo,/wiki/Prime_Minister_of_the_Democratic_Republic_of_the_Congo,1934,2015,André Bo-Boliko Lokonga,9th Prime Minister of the Democratic Republic of the Congo
Bill Maynard,/wiki/Bill_Maynard,1928,2015,March 30,English comedian and actor
Steven Bochco,/wiki/Steven_Bochco,1943,2015,April 1,American television producer
President of Guatemala,/wiki/President_of_Guatemala,1926,2015,Efraín Ríos Montt,26th President of Guatemala
Susan Anspach,/wiki/Susan_Anspach,1942,2015,April 2,American actress
Morris Halle,/wiki/Morris_Halle,1923,2015,April 2,Latvian-American linguist
