name,link,year_of_birth,year_of_death,date_of_death,description
Gary Kurtz,/wiki/Gary_Kurtz,1940,2015,September 23,American film producer
Tommy McDonald,/wiki/Tommy_McDonald_(American_football),1934,2015,September 24,American football player
Baba Hari Dass,/wiki/Baba_Hari_Dass,1923,2015,September 25,"Indian yoga master, silent monk, and commentator"
Marty Balin,/wiki/Marty_Balin,1942,2015,September 27,American singer and musician
Prime Minister of Swaziland,/wiki/List_of_Prime_Ministers_of_Swaziland,1942,2015,Barnabas Sibusiso Dlamini,8th Prime Minister of Swaziland
Bob Jane,/wiki/Bob_Jane,1929,2015,September 28,Australian race car driver and businessman
Otis Rush,/wiki/Otis_Rush,1934,2015,September 29,American blues guitarist and singer
Geoffrey Hayes,/wiki/Geoffrey_Hayes,1942,2015,September 30,English television presenter and actor
Charles Aznavour,/wiki/Charles_Aznavour,1924,2015,October 1,French-Armenian singer
Prime Minister of Vietnam,/wiki/List_of_Prime_Ministers_of_Vietnam,1917,2015,Đỗ Mười,3rd Prime Minister of Vietnam
Geoff Emerick,/wiki/Geoff_Emerick,1945,2015,October 2,English recording engineer
Jamal Khashoggi,/wiki/Jamal_Khashoggi,1958,2015,October 2,Saudi journalist
Leon M. Lederman,/wiki/Leon_M._Lederman,1922,2015,October 3,American Nobel physicist
Dave Anderson,/wiki/Dave_Anderson_(sportswriter),1929,2015,October 4,American sportswriter
Hamiet Bluiett,/wiki/Hamiet_Bluiett,1940,2015,October 4,American jazz saxophonist
Will Vinton,/wiki/Will_Vinton,1947,2015,October 4,American animator
Audrey Wells,/wiki/Audrey_Wells,1960,2015,October 4,"American screenwriter, director, and producer"
Montserrat Caballé,/wiki/Montserrat_Caball%C3%A9,1933,2015,October 6,Spanish soprano
James Cowan,/wiki/James_Cowan_(author),1942,2015,October 6,Australian author
Don Sandburg,/wiki/Don_Sandburg,1930,2015,October 6,"American writer, actor, and producer"
Scott Wilson,/wiki/Scott_Wilson_(actor),1942,2015,October 6,American actor
Peggy McCay,/wiki/Peggy_McCay,1927,2015,October 7,American actress
Moi-Yo Miller,/wiki/Moi-Yo_Miller,1914,2015,October 7,Australian entertainer and illusionist
Celeste Yarnall,/wiki/Celeste_Yarnall,1944,2015,October 7,American actress
Arnold Kopelson,/wiki/Arnold_Kopelson,1935,2015,October 8,American film producer
George Taliaferro,/wiki/George_Taliaferro,1927,2015,October 8,American football player
Alex Spanos,/wiki/Alex_Spanos,1923,2015,October 9,American billionaire and real estate developer
Thomas A. Steitz,/wiki/Thomas_A._Steitz,1940,2015,October 9,American Nobel biochemist
Venantino Venantini,/wiki/Venantino_Venantini,1930,2015,October 9,Italian actor
Mary Midgley,/wiki/Mary_Midgley,1919,2015,October 10,British philosopher
Tex Winter,/wiki/Tex_Winter,1922,2015,October 10,American football player and coach
Paul Andreu,/wiki/Paul_Andreu,1938,2015,October 11,French architect
Greg Stafford,/wiki/Greg_Stafford,1948,2015,October 11,American game designer
Pik Botha,/wiki/Pik_Botha,1932,2015,October 12,South African politician
Jim Taylor,/wiki/Jim_Taylor_(American_football),1935,2015,October 13,American football player
Eduardo Arroyo,/wiki/Eduardo_Arroyo,1937,2015,October 14,Spanish painter and graphic artist
FIBA,/wiki/FIBA,1967,2015,Patrick Baumann,"Swiss basketball administrator, FIBA secretary general"
Milena Dravić,/wiki/Milena_Dravi%C4%87,1940,2015,October 14,Serbian actress
Microsoft,/wiki/Microsoft,1953,2015,Paul Allen,"American businessman, co-founder of Microsoft"
Arto Paasilinna,/wiki/Arto_Paasilinna,1942,2015,October 15,Finnish writer
David Helwig,/wiki/David_Helwig,1938,2015,October 16,"Canadian editor, essayist, memoirist, novelist, and poet"
Dennis Hof,/wiki/Dennis_Hof,1946,2015,October 16,"American brothel owner, and reality show personality"
Ara Güler,/wiki/Ara_G%C3%BCler,1928,2015,October 17,Turkish-Armenian photojournalist
Ayub Bachchu,/wiki/Ayub_Bachchu,1962,2015,October 18,Bangladeshi singer and songwriter
Anthea Bell,/wiki/Anthea_Bell,1936,2015,October 18,British literary translator
UNICEF,/wiki/UNICEF,1931,2015,Lisbeth Palme,"Swedish child psychologist, former chairwoman of UNICEF"
President of the Sudan,/wiki/List_of_heads_of_state_of_Sudan,1934,2015,Abdel Rahman Swar al-Dahab,5th President of the Sudan
Osamu Shimomura,/wiki/Osamu_Shimomura,1928,2015,October 19,Japanese Nobel chemist and marine biologist
October 20,/wiki/October_20,1938,2015,Millennium,48th Prime Minister of the Netherlands
Joachim Rønneberg,/wiki/Joachim_R%C3%B8nneberg,1919,2015,October 21,Norwegian military officer and anti-Nazi resistant
José Varacka,/wiki/Jos%C3%A9_Varacka,1932,2015,October 22,Argentine football player and coach
James Karen,/wiki/James_Karen,1923,2015,October 23,American actor
Carmen Alborch,/wiki/Carmen_Alborch,1947,2015,October 24,Spanish politician
Melvin Ragin,/wiki/Wah_Wah_Watson,1950,2015,October 24,American guitarist
Tony Joe White,/wiki/Tony_Joe_White,1943,2015,October 24,American singer-songwriter
Sonny Fortune,/wiki/Sonny_Fortune,1939,2015,October 25,American jazz saxophonist
Nikolai Karachentsov,/wiki/Nikolai_Karachentsov,1944,2015,October 26,Soviet and Russian actor
Freddie Hart,/wiki/Freddie_Hart,1926,2015,October 27,American country singer and songwriter
Ntozake Shange,/wiki/Ntozake_Shange,1948,2015,October 27,American playwright and poet
Vichai Srivaddhanaprabha,/wiki/Vichai_Srivaddhanaprabha,1958,2015,October 27,Thai businessman
Richard Gill,/wiki/Richard_Gill_(conductor),1941,2015,October 28,Australian conductor and educator
Dave Duncan,/wiki/Dave_Duncan_(writer),1933,2015,October 29,Scottish-Canadian author
Lodi Gyari,/wiki/Lodi_Gyari,1949,2015,October 29,Tibetan diplomat
David Azulai,/wiki/David_Azulai,1954,2015,October 30,Israeli politician
Whitey Bulger,/wiki/Whitey_Bulger,1929,2015,October 30,American mobster
Erika Mahringer,/wiki/Erika_Mahringer,1924,2015,October 30,Austrian alpine skier
Beverly McClellan,/wiki/Beverly_McClellan,1969,2015,October 30,American singer
Sangharakshita,/wiki/Sangharakshita,1925,2015,October 30,English Buddhist teacher and writer
Jin Yong,/wiki/Jin_Yong,1924,2015,October 30,Hong Kong writer
Willie McCovey,/wiki/Willie_McCovey,1938,2015,October 31,American baseball player
Yurik Vardanyan,/wiki/Yurik_Vardanyan,1956,2015,November 1,Armenian weightlifter
Raymond Chow,/wiki/Raymond_Chow,1927,2015,November 2,Hong Kong film producer
Roy Hargrove,/wiki/Roy_Hargrove,1969,2015,November 2,American jazz trumpeter
Kitty O'Neil,/wiki/Kitty_O%27Neil,1946,2015,November 2,American stuntwoman and racer
Mari Hulman George,/wiki/Mari_Hulman_George,1934,2015,November 3,chairperson of the Indianapolis Motor Speedway
Sondra Locke,/wiki/Sondra_Locke,1944,2015,November 3,American actress
Serhiy Tkach,/wiki/Serhiy_Tkach,1952,2015,November 4,Russian-Ukrainian serial killer
Jonathan Cantwell,/wiki/Jonathan_Cantwell,1982,2015,November 6,Australian racing cyclist
Tetsuo Gotō,/wiki/Tetsuo_Got%C5%8D,1950,2015,November 6,Japanese actor
Francis Lai,/wiki/Francis_Lai,1932,2015,November 7,French composer
Bruno Caruso,/wiki/Bruno_Caruso,1927,2015,November 8,"Sicilian painter, illustrator, writer, graphic designer and political activist"
Wallace Triplett,/wiki/Wallace_Triplett,1926,2015,November 8,American football player
Albert Bitran,/wiki/Albert_Bitran,1931,2015,November 9,Turkish-born French painter and sculptor
Lalan Sarang,/wiki/Lalan_Sarang,1939,2015,November 9,Indian actress
Ron Johnson,/wiki/Ron_Johnson_(running_back),1947,2015,November 10,American football player
Douglas Rain,/wiki/Douglas_Rain,1928,2015,November 11,Canadian actor
D.J. Finney,/wiki/D.J._Finney,1917,2015,November 12,British statistician
Stan Lee,/wiki/Stan_Lee,1922,2015,November 12,"American comic book writer, editor and actor"
David Pearson,/wiki/David_Pearson_(racing_driver),1934,2015,November 12,American race car driver
Stuart H. Walker,/wiki/Stuart_H._Walker,1923,2015,November 12,American Olympic yachtsman
Lucho Gatica,/wiki/Lucho_Gatica,1928,2015,November 13,Chilean singer
Katherine MacGregor,/wiki/Katherine_MacGregor,1925,2015,November 13,American actress
Rolf Hoppe,/wiki/Rolf_Hoppe,1930,2015,November 14,German actor
Fernando del Paso,/wiki/Fernando_del_Paso,1935,2015,November 14,Mexican writer
Gottfried Weilenmann,"/wiki/Gottfried_Weilenmann_(cyclist,_born_1920)",1920,2015,November 14,Swiss racing cyclist
John Bluthal,/wiki/John_Bluthal,1929,2015,November 15,"Polish-born radio, stage, actor, comedian, and voice artist"
Roy Clark,/wiki/Roy_Clark,1933,2015,November 15,American country singer
Adolf Grünbaum,/wiki/Adolf_Gr%C3%BCnbaum,1923,2015,November 15,German-American philosopher of science
Zhores Medvedev,/wiki/Zhores_Medvedev,1925,2015,November 15,"Russian agronomist, biologist, and historian"
William Goldman,/wiki/William_Goldman,1931,2015,November 16,"American novelist, playwright, and screenwriter"
Eduard von Falz-Fein,/wiki/Eduard_von_Falz-Fein,1912,2015,November 17,"Russian-born Liechtensteiner businessman, journalist and sportsman"
Cheng Kaijia,/wiki/Cheng_Kaijia,1918,2015,November 17,Chinese nuclear physicist and engineer
Ethel Ayler,/wiki/Ethel_Ayler,1930,2015,November 18,American actress
November 19,/wiki/November_19,1955,2015,Millennium,10th Prime Minister of Tuvalu
James H. Billington,/wiki/James_H._Billington,1929,2015,November 20,American academic
Aaron Klug,/wiki/Aaron_Klug,1926,2015,November 20,Lithuanian-English Nobel chemist
Eimuntas Nekrošius,/wiki/Eimuntas_Nekro%C5%A1ius,1952,2015,November 20,Lithuanian theatre director
Olivia Hooker,/wiki/Olivia_Hooker,1915,2015,November 21,American psychologist and civil rights figure
Soslan Andiyev,/wiki/Soslan_Andiyev,1952,2015,November 22,Russian wrestler
Andrzej Fischer,/wiki/Andrzej_Fischer,1952,2015,November 22,Polish footballer
Willie Naulls,/wiki/Willie_Naulls,1934,2015,November 22,American basketball player
Betty Bumpers,/wiki/Betty_Bumpers,1925,2015,November 23,American childhood immunizations activist
Bernard Gauthier,/wiki/Bernard_Gauthier,1924,2015,November 23,French racing cyclist
Nicolas Roeg,/wiki/Nicolas_Roeg,1928,2015,November 23,British film director
Ricky Jay,/wiki/Ricky_Jay,1946,2015,November 24,American magician and actor
Giuliana Calandra,/wiki/Giuliana_Calandra,1936,2015,November 25,Italian actress
Viktor Kanevskyi,/wiki/Viktor_Kanevskyi,1936,2015,November 25,Ukrainian footballer
Gloria Katz,/wiki/Gloria_Katz,1942,2015,November 25,American screenwriter and producer
Wright King,/wiki/Wright_King,1923,2015,November 25,American actor
"Jean Barker, Baroness Trumpington","/wiki/Jean_Barker,_Baroness_Trumpington",1922,2015,November 26,"Baroness Trumpington, British politician"
Bernardo Bertolucci,/wiki/Bernardo_Bertolucci,1941,2015,November 26,Italian film director and screenwriter
Stephen Hillenburg,/wiki/Stephen_Hillenburg,1961,2015,November 26,"American cartoonist, animator, and marine biology teacher"
Mahito Tsujimura,/wiki/Mahito_Tsujimura,1930,2015,November 27,Japanese actor
Nicanor de Carvalho,/wiki/Nicanor_de_Carvalho,1947,2015,November 28,Brazilian football manager
Robert Morris,/wiki/Robert_Morris_(artist),1931,2015,November 28,American sculptor
Harry Leslie Smith,/wiki/Harry_Leslie_Smith,1923,2015,November 28,British writer and activist
Viktor Matviyenko,/wiki/Viktor_Matviyenko,1948,2015,November 29,Ukrainian footballer
November 30,/wiki/November_30,1924,2015,Millennium,41st President of the United States
Ken Berry,/wiki/Ken_Berry,1933,2015,December 1,American actor
Ennio Fantastichini,/wiki/Ennio_Fantastichini,1955,2015,December 1,Italian actor
Paul Sherwen,/wiki/Paul_Sherwen,1956,2015,December 2,English cyclist and broadcaster
Markus Beyer,/wiki/Markus_Beyer,1971,2015,December 3,German boxer
Andrei Bitov,/wiki/Andrei_Bitov,1937,2015,December 3,Russian writer
Philip Bosco,/wiki/Philip_Bosco,1930,2015,December 3,American actor
Geoff Murphy,/wiki/Geoff_Murphy,1938,2015,December 3,New Zealand film director
President of FC Barcelona,/wiki/List_of_FC_Barcelona_presidents,1931,2015,Josep Lluís Núñez,Spanish businessman and 35th President of FC Barcelona
Dynamite Kid,/wiki/Dynamite_Kid,1958,2015,December 5,English professional wrestler
Larry Hennig,/wiki/Larry_Hennig,1936,2015,December 6,American professional wrestler
Joseph Joffo,/wiki/Joseph_Joffo,1931,2015,December 6,French author
Pete Shelley,/wiki/Pete_Shelley,1955,2015,December 6,English singer-songwriter
President of Colombia,/wiki/President_of_Colombia,1923,2015,Belisario Betancur,26th President of Colombia
Luigi Radice,/wiki/Luigi_Radice,1935,2015,December 7,Italian football player and manager
Lyudmila Alexeyeva,/wiki/Lyudmila_Alexeyeva,1927,2015,December 8,Russian historian and human rights activist
Evelyn Berezin,/wiki/Evelyn_Berezin,1925,2015,December 8,American computer designer
Robert Bergland,/wiki/Robert_Bergland,1928,2015,December 9,American politician
William Blum,/wiki/William_Blum,1933,2015,December 9,American author and historian
astrophysicist,/wiki/Astrophysicist,1931,2015,Riccardo Giacconi,Italian-born American Nobel astrophysicist
Iraj Danaeifard,/wiki/Iraj_Danaeifard,1951,2015,December 12,Iranian footballer
Ferenc Kósa,/wiki/Ferenc_K%C3%B3sa,1937,2015,December 12,Hungarian film director
Nancy Wilson,/wiki/Nancy_Wilson_(jazz_singer),1937,2015,December 13,American singer and actress
December 15,/wiki/December_15,1924,2015,Millennium,2nd President of Ethiopia
Penny Marshall,/wiki/Penny_Marshall,1943,2015,December 17,American actress and film director
Andrey Shcharbakow,/wiki/Andrey_Shcharbakow,1991,2015,December 17,Belarusian footballer
David C. H. Austin,/wiki/David_C._H._Austin,1926,2015,December 18,English rose breeder
Prime Minister of Nepal,/wiki/Prime_Minister_of_Nepal,1926,2015,Tulsi Giri,23rd Prime Minister of Nepal
Kazimierz Kutz,/wiki/Kazimierz_Kutz,1929,2015,December 18,Polish film director and politician
Shinobu Sekine,/wiki/Shinobu_Sekine,1943,2015,December 18,Japanese Olympic judoka
Bill Slater,/wiki/Bill_Slater_(footballer),1927,2015,December 18,English footballer
Donald Moffat,/wiki/Donald_Moffat,1930,2015,December 20,English-American actor
Paddy Ashdown,/wiki/Paddy_Ashdown,1941,2015,December 22,British politician and diplomat
Talal bin Abdulaziz Al Saud,/wiki/Talal_bin_Abdulaziz_Al_Saud,1931,2015,December 22,Saudi royal and politician
President of Honduras,/wiki/President_of_Honduras,1927,2015,Roberto Suazo Córdova,29th President of Honduras
Elias M. Stein,/wiki/Elias_M._Stein,1931,2015,December 23,American mathematician
Jozef Adamec,/wiki/Jozef_Adamec,1942,2015,December 24,Slovakian footballer and manager
Stanko Poklepović,/wiki/Stanko_Poklepovi%C4%87,1938,2015,December 24,Croatian footballer and manager
Mahmoud Hashemi Shahroudi,/wiki/Mahmoud_Hashemi_Shahroudi,1948,2015,December 24,Iranian cleric and politician
Nancy Roman,/wiki/Nancy_Roman,1925,2015,December 25,American astronomer
Wendy Beckett,/wiki/Wendy_Beckett,1930,2015,December 26,British religious sister and art historian
Roy J. Glauber,/wiki/Roy_J._Glauber,1925,2015,December 26,American Nobel physicist
Lawrence Roberts,/wiki/Lawrence_Roberts_(scientist),1937,2015,December 26,American computer scientist
Morton Sobell,/wiki/Morton_Sobell,1917,2015,December 26,American engineer and spy
Juan Bautista Agüero,/wiki/Juan_Bautista_Ag%C3%BCero,1935,2015,December 27,Paraguayan footballer
Robert Kerman,/wiki/Robert_Kerman,1947,2015,December 27,American actor
Richard Arvin Overton,/wiki/Richard_Arvin_Overton,1906,2015,December 27,American war veteran
President of Algeria,/wiki/President_of_Algeria,1921,2015,Abdelmalek Benhabyles,Acting President of Algeria
Toshiko Fujita,/wiki/Toshiko_Fujita,1950,2015,December 28,Japanese actress
Peter Hill-Wood,/wiki/Peter_Hill-Wood,1936,2015,December 28,English businessman and football executive
Georges Loinger,/wiki/Georges_Loinger,1910,2015,December 28,French resistance fighter
Amos Oz,/wiki/Amos_Oz,1939,2015,December 28,Israeli author and journalist
President of Nigeria,/wiki/President_of_Nigeria,1925,2015,Shehu Shagari,6th President of Nigeria
June Whitfield,/wiki/June_Whitfield,1925,2015,December 28,English actress
Ringo Lam,/wiki/Ringo_Lam,1955,2015,December 29,Hong Kong film director
Rosenda Monteros,/wiki/Rosenda_Monteros,1935,2015,December 29,Mexican actress
Edgar Hilsenrath,/wiki/Edgar_Hilsenrath,1926,2015,December 30,German writer
Don Lusk,/wiki/Don_Lusk,1913,2015,December 30,American animator
Mrinal Sen,/wiki/Mrinal_Sen,1923,2015,December 30,Indian film director
Kader Khan,/wiki/Kader_Khan,1937,2015,December 31,Indian actor
Manuel Olivencia,/wiki/Manuel_Olivencia,1929,2016,January 1,"Spanish lawyer, economist, and diplomat"
Frank Buxton,/wiki/Frank_Buxton,1930,2016,January 2,"American actor, writer, author, and director"
Rick Hall,/wiki/Rick_Hall,1932,2016,January 2,"American record producer, songwriter, and music publisher"
Thomas S. Monson,/wiki/Thomas_S._Monson,1927,2016,January 2,American religious leader and writer
Radha Viswanathan,/wiki/Radha_Viswanathan,1934,2016,January 2,Indian vocalist and classical dancer
Colin Brumby,/wiki/Colin_Brumby,1933,2016,January 3,Australian composer
Aharon Appelfeld,/wiki/Aharon_Appelfeld,1932,2016,January 4,Ukrainian-Israeli writer
Ray Thomas,/wiki/Ray_Thomas,1941,2016,January 4,English musician
Thomas Bopp,/wiki/Thomas_Bopp,1949,2016,January 5,American astronomer
Antonio Angelillo,/wiki/Antonio_Valent%C3%ADn_Angelillo,1937,2016,January 5,Italian-Argentine footballer
Jerry Van Dyke,/wiki/Jerry_Van_Dyke,1931,2016,January 5,American actor
John Young,/wiki/John_Young_(astronaut),1930,2016,January 5,American astronaut
Horace Ashenfelter,/wiki/Horace_Ashenfelter,1923,2016,January 6,American Olympic athlete
Elza Brandeisz,/wiki/Elza_Brandeisz,1907,2016,January 6,Hungarian dancer and teacher
Jimmy Robinson,/wiki/Jimmy_Robinson_(recording_engineer),1950,2016,January 6,American recording engineer and producer
France Gall,/wiki/France_Gall,1947,2016,January 7,French singer
Anna Mae Hays,/wiki/Anna_Mae_Hays,1920,2016,January 7,American military officer and nurse
Peter Sutherland,/wiki/Peter_Sutherland,1946,2016,January 7,Irish businessman and politician
Salvador Borrego,/wiki/Salvador_Borrego,1915,2016,January 8,Mexican journalist and revisionist writer
Juan Carlos García,/wiki/Juan_Carlos_Garc%C3%ADa_(Honduran_footballer),1988,2016,January 8,Honduran footballer
Denise LaSalle,/wiki/Denise_LaSalle,1939,2016,January 8,"American singer, songwriter, and record producer"
Donnelly Rhodes,/wiki/Donnelly_Rhodes,1937,2016,January 8,Canadian actor
President of Trinidad and Tobago,/wiki/President_of_Trinidad_and_Tobago,1931,2016,George Maxwell Richards,"Trinidadian politician, 4th President of Trinidad and Tobago"
Terence Marsh,/wiki/Terence_Marsh,1931,2016,January 9,British production designer
Prime Minister of Norway,/wiki/Prime_Minister_of_Norway,1927,2016,Odvar Nordli,21st Prime Minister of Norway
Mario Perniola,/wiki/Mario_Perniola,1941,2016,January 9,Italian philosopher
Eddie Clarke,/wiki/Eddie_Clarke_(musician),1950,2016,January 10,British musician
Doreen Tracey,/wiki/Doreen_Tracey,1943,2016,January 10,British-born American performer
Edgar Ray Killen,/wiki/Edgar_Ray_Killen,1925,2016,January 11,American criminal
Keith Jackson,/wiki/Keith_Jackson,1928,2016,January 12,"American sports commentator, journalist, author, and radio personality"
Jean Porter,/wiki/Jean_Porter,1922,2016,January 13,American actress
Dan Gurney,/wiki/Dan_Gurney,1931,2016,January 14,American racing driver
Spanky Manikan,/wiki/Spanky_Manikan,1942,2016,January 14,Filipino actor
Cyrille Regis,/wiki/Cyrille_Regis,1958,2016,January 14,English footballer
Hugh Wilson,/wiki/Hugh_Wilson_(director),1943,2016,January 14,American film director and television producer
Edwin Hawkins,/wiki/Edwin_Hawkins,1943,2016,January 15,American musician
Dolores O'Riordan,/wiki/Dolores_O%27Riordan,1971,2016,January 15,Irish musician
Peter Wyngarde,/wiki/Peter_Wyngarde,1927,2016,January 15,British actor
Bradford Dillman,/wiki/Bradford_Dillman,1930,2016,January 16,American actor
Dave Holland,/wiki/Dave_Holland_(drummer),1948,2016,January 16,English drummer
Oliver Ivanović,/wiki/Oliver_Ivanovi%C4%87,1953,2016,January 16,Serbian politician
Liu Zhonghua,/wiki/Liu_Zhonghua,1917,2016,January 16,Chinese navy admiral
Jo Jo White,/wiki/Jo_Jo_White,1946,2016,January 16,American basketball player
Simon Shelton,/wiki/Simon_Shelton,1966,2016,January 17,English actor
Julius Lester,/wiki/Julius_Lester,1939,2016,January 18,"American civil rights activist, writer, musician, photographer, and professor"
Lucas Mangope,/wiki/Lucas_Mangope,1923,2016,January 18,South African politician
Clara Marangoni,/wiki/Clara_Marangoni,1915,2016,January 18,Italian gymnast and Olympic silver medalist
Peter Mayle,/wiki/Peter_Mayle,1939,2016,January 18,English author
Stansfield Turner,/wiki/Stansfield_Turner,1923,2016,January 18,American admiral and academic
Anna Campori,/wiki/Anna_Campori,1917,2016,January 19,Italian actress
Olivia Cole,/wiki/Olivia_Cole,1942,2016,January 19,American actress
Dorothy Malone,/wiki/Dorothy_Malone,1924,2016,January 19,American actress
Fredo Santana,/wiki/Fredo_Santana,1990,2016,January 19,American rapper and singer-songwriter
Paul Bocuse,/wiki/Paul_Bocuse,1926,2016,January 20,French chef
Naomi Parker Fraley,/wiki/Naomi_Parker_Fraley,1921,2016,January 20,American naval machiner
Graeme Langlands,/wiki/Graeme_Langlands,1941,2016,January 20,Australian rugby player
Jim Rodford,/wiki/Jim_Rodford,1941,2016,January 20,English bass guitarist
John Coleman,/wiki/John_Coleman_(meteorologist),1934,2016,January 20,American television weatherman
Yves Afonso,/wiki/Yves_Afonso,1944,2016,January 21,French actor
Philippe Gondet,/wiki/Philippe_Gondet,1942,2016,January 21,French footballer
Tsukasa Hosaka,/wiki/Tsukasa_Hosaka,1937,2016,January 21,Japanese footballer
Jens Okking,/wiki/Jens_Okking,1939,2016,January 21,Danish actor and politician
Connie Sawyer,/wiki/Connie_Sawyer,1912,2016,January 21,American actress
Jimmy Armfield,/wiki/Jimmy_Armfield,1935,2016,January 22,English footballer and manager
Ursula K. Le Guin,/wiki/Ursula_K._Le_Guin,1929,2016,January 22,American novelist
Hugh Masekela,/wiki/Hugh_Masekela,1939,2016,January 23,South African jazz musician
Nicanor Parra,/wiki/Nicanor_Parra,1914,2016,January 23,Chilean poet
Wyatt Tee Walker,/wiki/Wyatt_Tee_Walker,1928,2016,January 23,"American pastor, civil rights leader, and theologian"
Lari White,/wiki/Lari_White,1965,2016,January 23,American country singer
Jack Ketchum,/wiki/Jack_Ketchum,1946,2016,January 24,American author
Mark E. Smith,/wiki/Mark_E._Smith,1957,2016,January 24,English singer-songwriter
Claribel Alegría,/wiki/Claribel_Alegr%C3%ADa,1924,2016,January 25,Nicaraguan poet
Neagu Djuvara,/wiki/Neagu_Djuvara,1916,2016,January 25,"Romanian historian, essayist, and philosopher"
Elizabeth Hawley,/wiki/Elizabeth_Hawley,1923,2016,January 26,American journalist
Hiromu Nonaka,/wiki/Hiromu_Nonaka,1925,2016,January 26,Japanese politician
Michael Wright,/wiki/Michael_Wright_(architect),1912,2016,January 26,Hong Kong architect
Robert McCormick Adams Jr.,/wiki/Robert_McCormick_Adams_Jr.,1926,2016,January 27,American anthropologist
Ingvar Kamprad,/wiki/Ingvar_Kamprad,1926,2016,January 27,Swedish businessman
Mort Walker,/wiki/Mort_Walker,1923,2016,January 27,American comic artist
Gene Sharp,/wiki/Gene_Sharp,1928,2016,January 28,American political scientist
Prime Minister of Moldova,/wiki/Prime_Minister_of_Moldova,1943,2016,Ion Ciubuc,7th Prime Minister of Moldova
Robert D. McWethy,/wiki/Robert_D._McWethy,1920,2016,January 29,American submarine captain
Mark Salling,/wiki/Mark_Salling,1982,2016,January 30,American actor
Clyde Scott,/wiki/Clyde_Scott,1924,2016,January 30,American football player
Azeglio Vicini,/wiki/Azeglio_Vicini,1933,2016,January 30,Italian footballer and coach
Rasual Butler,/wiki/Rasual_Butler,1979,2016,January 31,American basketball player
Ann Gillis,/wiki/Ann_Gillis,1927,2016,January 31,American actress
Leonid Kadeniuk,/wiki/Leonid_Kadeniuk,1951,2016,January 31,Ukrainian cosmonaut
Cliff Bourland,/wiki/Cliff_Bourland,1921,2016,February 1,American athlete
Dennis Edwards,/wiki/Dennis_Edwards,1943,2016,February 1,American singer
Barys Kit,/wiki/Barys_Kit,1910,2016,February 1,Belarusian-American rocket scientist
Jon Huntsman Sr.,/wiki/Jon_Huntsman_Sr.,1937,2016,February 2,American businessman and philanthropist
Joseph Polchinski,/wiki/Joseph_Polchinski,1954,2016,February 2,American theoretical physicist
Ole Thestrup,/wiki/Ole_Thestrup,1948,2016,February 2,Danish actor
Michael Harner,/wiki/Michael_Harner,1929,2016,February 3,American anthropologist and author
Károly Palotai,/wiki/K%C3%A1roly_Palotai,1935,2016,February 3,Hungarian footballer and referee
Alan Baker,/wiki/Alan_Baker_(mathematician),1939,2016,February 4,English mathematician
Edwin Jackson,/wiki/Edwin_Jackson_(American_football),1991,2016,February 4,American football player
John Mahoney,/wiki/John_Mahoney,1940,2016,February 4,British-American actor
Donald Lynden-Bell,/wiki/Donald_Lynden-Bell,1935,2016,February 5,English astrophysicist
Fedora Alemán,/wiki/Fedora_Alem%C3%A1n,1912,2016,February 6,Venezuelan singer
André Harvey,/wiki/Andr%C3%A9_Harvey_(sculptor),1941,2016,February 6,American sculptor
John Perry Barlow,/wiki/John_Perry_Barlow,1947,2016,February 7,"American internet activist, writer, and lyricist"
Mickey Jones,/wiki/Mickey_Jones,1941,2016,February 7,American musician
Pat Torpey,/wiki/Pat_Torpey,1953,2016,February 7,American drummer
Jarrod Bannister,/wiki/Jarrod_Bannister,1984,2016,February 8,Australian athlete
Reg E. Cathey,/wiki/Reg_E._Cathey,1958,2016,February 9,American actor
John Gavin,/wiki/John_Gavin,1931,2016,February 9,American actor and diplomat
István Hevesi,/wiki/Istv%C3%A1n_Hevesi,1931,2016,February 9,Hungarian Olympic water polo player
Jóhann Jóhannsson,/wiki/J%C3%B3hann_J%C3%B3hannsson,1969,2016,February 9,Icelandic film composer
Liam Miller,/wiki/Liam_Miller,1981,2016,February 9,Irish footballer
Wally Moon,/wiki/Wally_Moon,1930,2016,February 9,American baseball player
Alan R. Battersby,/wiki/Alan_R._Battersby,1925,2016,February 10,English organic chemist
Rosa Ferrer Obiols,/wiki/Rosa_Ferrer_Obiols,1960,2016,February 10,Andorran politician
Vic Damone,/wiki/Vic_Damone,1928,2016,February 11,American singer and actor
Asma Jahangir,/wiki/Asma_Jahangir,1952,2016,February 11,Pakistani human rights activist and lawyer
Jan Maxwell,/wiki/Jan_Maxwell,1956,2016,February 11,American actress
Tom Rapp,/wiki/Tom_Rapp,1947,2016,February 11,American singer-songwriter
Marty Allen,/wiki/Marty_Allen,1922,2016,February 12,American actor and comedian
Leo Falcam,/wiki/Leo_Falcam,1935,2016,February 12,5th President of the Federated States of Micronesia
Louise Latham,/wiki/Louise_Latham,1922,2016,February 12,American actress
Daryle Singletary,/wiki/Daryle_Singletary,1971,2016,February 12,American country music singer
Joseph Bonnel,/wiki/Joseph_Bonnel,1939,2016,February 13,French footballer
Chyskillz,/wiki/Chyskillz,1969,2016,February 13,"American record producer, DJ, and rapper"
Dobri Dobrev,/wiki/Dobri_Dobrev,1914,2016,February 13,Bulgarian ascetic and philanthropist
Margrethe II of Denmark,/wiki/Margrethe_II_of_Denmark,1934,2016,Prince Henrik,consort of Margrethe II of Denmark
