project,access,agent,granularity,timestamp,views
en.wikipedia,all-access,user,daily,2015103100,228390193
en.wikipedia,all-access,user,daily,2015110100,244925316
en.wikipedia,all-access,user,daily,2015110200,266333615
en.wikipedia,all-access,user,daily,2015110300,257036022
en.wikipedia,all-access,user,daily,2015110400,258720015
en.wikipedia,all-access,user,daily,2015110500,259982859
en.wikipedia,all-access,user,daily,2015110600,245378536
en.wikipedia,all-access,user,daily,2015110700,230285363
en.wikipedia,all-access,user,daily,2015110800,252451540
en.wikipedia,all-access,user,daily,2015110900,269146272
en.wikipedia,all-access,user,daily,2015111000,260477670
en.wikipedia,all-access,user,daily,2015111100,253035102
en.wikipedia,all-access,user,daily,2015111200,254436694
en.wikipedia,all-access,user,daily,2015111300,237123478
en.wikipedia,all-access,user,daily,2015111400,227440576
en.wikipedia,all-access,user,daily,2015111500,252710366
en.wikipedia,all-access,user,daily,2015111600,264104145
en.wikipedia,all-access,user,daily,2015111700,261775991
en.wikipedia,all-access,user,daily,2015111800,258249617
en.wikipedia,all-access,user,daily,2015111900,254057860
en.wikipedia,all-access,user,daily,2015112000,241774193
en.wikipedia,all-access,user,daily,2015112100,229454848
en.wikipedia,all-access,user,daily,2015112200,250837316
en.wikipedia,all-access,user,daily,2015112300,262154748
en.wikipedia,all-access,user,daily,2015112400,256203864
en.wikipedia,all-access,user,daily,2015112500,244123520
en.wikipedia,all-access,user,daily,2015112600,239140879
en.wikipedia,all-access,user,daily,2015112700,231815803
en.wikipedia,all-access,user,daily,2015112800,237243517
en.wikipedia,all-access,user,daily,2015112900,255125293
en.wikipedia,all-access,user,daily,2015113000,268776272
en.wikipedia,all-access,user,daily,2015120100,259656743
en.wikipedia,all-access,user,daily,2015120200,256846437
en.wikipedia,all-access,user,daily,2015120300,250181767
en.wikipedia,all-access,user,daily,2015120400,243147022
en.wikipedia,all-access,user,daily,2015120500,226949236
en.wikipedia,all-access,user,daily,2015120600,250874359
en.wikipedia,all-access,user,daily,2015120700,271463314
en.wikipedia,all-access,user,daily,2015120800,265208583
en.wikipedia,all-access,user,daily,2015120900,260830080
en.wikipedia,all-access,user,daily,2015121000,252273451
en.wikipedia,all-access,user,daily,2015121100,246507757
en.wikipedia,all-access,user,daily,2015121200,230084048
en.wikipedia,all-access,user,daily,2015121300,253019372
en.wikipedia,all-access,user,daily,2015121400,267244443
en.wikipedia,all-access,user,daily,2015121500,252637187
en.wikipedia,all-access,user,daily,2015121600,245121409
en.wikipedia,all-access,user,daily,2015121700,239877908
en.wikipedia,all-access,user,daily,2015121800,225118505
en.wikipedia,all-access,user,daily,2015121900,214182461
en.wikipedia,all-access,user,daily,2015122000,229191823
en.wikipedia,all-access,user,daily,2015122100,242870461
en.wikipedia,all-access,user,daily,2015122200,233938580
en.wikipedia,all-access,user,daily,2015122300,222171594
en.wikipedia,all-access,user,daily,2015122400,207005981
en.wikipedia,all-access,user,daily,2015122500,202844977
en.wikipedia,all-access,user,daily,2015122600,224566991
en.wikipedia,all-access,user,daily,2015122700,234846351
en.wikipedia,all-access,user,daily,2015122800,248578302
en.wikipedia,all-access,user,daily,2015122900,248974194
en.wikipedia,all-access,user,daily,2015123000,244020967
en.wikipedia,all-access,user,daily,2015123100,226053041
en.wikipedia,all-access,user,daily,2016010100,234271982
en.wikipedia,all-access,user,daily,2016010200,258962263
en.wikipedia,all-access,user,daily,2016010300,265276913
en.wikipedia,all-access,user,daily,2016010400,269330004
en.wikipedia,all-access,user,daily,2016010500,263841110
en.wikipedia,all-access,user,daily,2016010600,262656618
en.wikipedia,all-access,user,daily,2016010700,260283606
en.wikipedia,all-access,user,daily,2016010800,252844185
en.wikipedia,all-access,user,daily,2016010900,245587830
en.wikipedia,all-access,user,daily,2016011000,267691389
en.wikipedia,all-access,user,daily,2016011100,296901690
en.wikipedia,all-access,user,daily,2016011200,272247505
en.wikipedia,all-access,user,daily,2016011300,264684802
en.wikipedia,all-access,user,daily,2016011400,265062630
en.wikipedia,all-access,user,daily,2016011500,252608966
en.wikipedia,all-access,user,daily,2016011600,244441245
en.wikipedia,all-access,user,daily,2016011700,265446747
en.wikipedia,all-access,user,daily,2016011800,276171426
en.wikipedia,all-access,user,daily,2016011900,275603217
en.wikipedia,all-access,user,daily,2016012000,265544825
en.wikipedia,all-access,user,daily,2016012100,263782691
en.wikipedia,all-access,user,daily,2016012200,258477861
en.wikipedia,all-access,user,daily,2016012300,248002891
en.wikipedia,all-access,user,daily,2016012400,271086304
en.wikipedia,all-access,user,daily,2016012500,281303675
en.wikipedia,all-access,user,daily,2016012600,271010141
en.wikipedia,all-access,user,daily,2016012700,268653701
en.wikipedia,all-access,user,daily,2016012800,262267936
en.wikipedia,all-access,user,daily,2016012900,253457572
en.wikipedia,all-access,user,daily,2016013000,244539875
en.wikipedia,all-access,user,daily,2016013100,271974703
en.wikipedia,all-access,user,daily,2016020100,280811736
en.wikipedia,all-access,user,daily,2016020200,270619588
en.wikipedia,all-access,user,daily,2016020300,268496546
en.wikipedia,all-access,user,daily,2016020400,262282329
en.wikipedia,all-access,user,daily,2016020500,253827747
en.wikipedia,all-access,user,daily,2016020600,239135560
en.wikipedia,all-access,user,daily,2016020700,262201340
en.wikipedia,all-access,user,daily,2016020800,280618979
en.wikipedia,all-access,user,daily,2016020900,263616192
en.wikipedia,all-access,user,daily,2016021000,262371873
en.wikipedia,all-access,user,daily,2016021100,254138725
en.wikipedia,all-access,user,daily,2016021200,248027716
en.wikipedia,all-access,user,daily,2016021300,239473862
en.wikipedia,all-access,user,daily,2016021400,257933079
en.wikipedia,all-access,user,daily,2016021500,273788427
en.wikipedia,all-access,user,daily,2016021600,278932636
en.wikipedia,all-access,user,daily,2016021700,265903269
en.wikipedia,all-access,user,daily,2016021800,259079641
en.wikipedia,all-access,user,daily,2016021900,252201780
en.wikipedia,all-access,user,daily,2016022000,241983564
en.wikipedia,all-access,user,daily,2016022100,265840183
en.wikipedia,all-access,user,daily,2016022200,281053185
en.wikipedia,all-access,user,daily,2016022300,267725274
en.wikipedia,all-access,user,daily,2016022400,262386296
en.wikipedia,all-access,user,daily,2016022500,260980282
en.wikipedia,all-access,user,daily,2016022600,245263726
en.wikipedia,all-access,user,daily,2016022700,234556490
en.wikipedia,all-access,user,daily,2016022800,258673995
en.wikipedia,all-access,user,daily,2016022900,293935437
en.wikipedia,all-access,user,daily,2016030100,266638867
en.wikipedia,all-access,user,daily,2016030200,263293471
en.wikipedia,all-access,user,daily,2016030300,263178571
en.wikipedia,all-access,user,daily,2016030400,251138775
en.wikipedia,all-access,user,daily,2016030500,241721072
en.wikipedia,all-access,user,daily,2016030600,260785666
en.wikipedia,all-access,user,daily,2016030700,271285555
en.wikipedia,all-access,user,daily,2016030800,258425104
en.wikipedia,all-access,user,daily,2016030900,257578657
en.wikipedia,all-access,user,daily,2016031000,250068872
en.wikipedia,all-access,user,daily,2016031100,239428505
en.wikipedia,all-access,user,daily,2016031200,227847654
en.wikipedia,all-access,user,daily,2016031300,248057656
en.wikipedia,all-access,user,daily,2016031400,261924323
en.wikipedia,all-access,user,daily,2016031500,249843398
en.wikipedia,all-access,user,daily,2016031600,251223493
en.wikipedia,all-access,user,daily,2016031700,247638705
en.wikipedia,all-access,user,daily,2016031800,231929284
en.wikipedia,all-access,user,daily,2016031900,220542415
en.wikipedia,all-access,user,daily,2016032000,240502350
en.wikipedia,all-access,user,daily,2016032100,252763129
en.wikipedia,all-access,user,daily,2016032200,240114325
en.wikipedia,all-access,user,daily,2016032300,236637085
en.wikipedia,all-access,user,daily,2016032400,233711775
